customer_id,CLV,recency,frequency,monetary,first_purchase,last_purchase,recency_score,frequency_score,monetary_score,rfm_segment,churn_status
186,1191.97,391,2,595.985000,2025-06-24,2025-06-24,1,1,1,Lost,Churned
159,1960.41,464,2,980.205000,2025-04-12,2025-04-12,1,1,1,Lost,Churned
109,3699.83,16,3,1233.276667,2025-08-25,2026-07-04,4,1,1,Lost,Active
92,7100.92,257,5,1420.184000,2025-01-27,2025-11-05,1,2,1,"At Risk",Churned
250,1718.64,27,1,1718.640000,2026-06-23,2026-06-23,4,1,1,Lost,Active
8,7714.76,92,4,1928.690000,2025-10-17,2026-04-19,2,1,1,Lost,Churned
12,5802.78,66,3,1934.260000,2026-04-18,2026-05-15,3,1,1,Lost,Active
148,1984.46,232,1,1984.460000,2025-11-30,2025-11-30,1,1,1,Lost,Churned
219,9982.22,36,5,1996.444000,2025-08-29,2026-06-14,3,2,1,Lost,Active
189,6635.69,317,3,2211.896667,2025-08-03,2025-09-06,1,1,1,Lost,Churned
169,14656.61,44,6,2442.768333,2025-03-16,2026-06-06,3,2,1,Lost,Active
118,10051.36,270,4,2512.840000,2025-02-06,2025-10-23,1,1,1,Lost,Churned
102,7640.40,240,3,2546.800000,2025-08-08,2025-11-22,1,1,1,Lost,Churned
248,2593.14,438,1,2593.140000,2025-05-08,2025-05-08,1,1,1,Lost,Churned
85,2797.74,430,1,2797.740000,2025-05-16,2025-05-16,1,1,1,Lost,Churned
230,23115.62,5,8,2889.452500,2025-08-30,2026-07-15,4,2,1,Lost,Active
178,28912.74,55,10,2891.274000,2025-02-28,2026-05-26,3,3,1,Loyal,Active
213,3029.19,311,1,3029.190000,2025-09-12,2025-09-12,1,1,1,Lost,Churned
87,45584.67,51,15,3038.978000,2025-04-09,2026-05-30,3,3,1,Loyal,Active
37,22226.30,22,7,3175.185714,2025-05-14,2026-06-28,4,2,1,Lost,Active
187,15891.05,197,5,3178.210000,2025-06-12,2026-01-04,1,2,1,"At Risk",Churned
137,3428.32,250,1,3428.320000,2025-11-12,2025-11-12,1,1,1,Lost,Churned
25,17270.37,214,5,3454.074000,2025-10-31,2025-12-18,1,2,1,"At Risk",Churned
78,21200.43,161,6,3533.405000,2025-03-02,2026-02-09,1,2,1,"At Risk",Churned
172,17764.70,45,5,3552.940000,2025-11-26,2026-06-05,3,2,1,Lost,Active
133,7687.85,174,2,3843.925000,2026-01-27,2026-01-27,1,1,1,Lost,Churned
203,34947.39,243,9,3883.043333,2025-03-28,2025-11-19,1,2,1,"At Risk",Churned
112,7976.26,227,2,3988.130000,2025-12-05,2025-12-05,1,1,1,Lost,Churned
61,12207.99,225,3,4069.330000,2025-05-05,2025-12-07,1,1,1,Lost,Churned
181,12400.32,500,3,4133.440000,2025-03-07,2025-03-07,1,1,1,Lost,Churned
218,20704.74,269,5,4140.948000,2025-01-12,2025-10-24,1,2,1,"At Risk",Churned
209,16767.39,3,4,4191.847500,2025-02-11,2026-07-17,4,2,1,Lost,Active
238,72314.91,80,15,4820.994000,2025-04-09,2026-05-01,2,3,1,Loyal,Active
103,38982.58,3,8,4872.822500,2025-03-10,2026-07-17,4,2,1,Lost,Active
32,25406.00,151,5,5081.200000,2025-02-20,2026-02-19,1,2,1,"At Risk",Churned
33,10418.90,194,2,5209.450000,2025-09-17,2026-01-07,1,1,1,Lost,Churned
