payment_id,order_id,payment_type,payment_value
201,1001,COD,104139.14
202,1003,COD,40500.69
203,1004,Debit Card,6993.81
204,1005,Net Banking,6982.76
205,1006,UPI,1533.42
206,1007,Net Banking,54167.56
207,1008,COD,29353.41
208,1009,UPI,59346.02
209,1010,Net Banking,52633.3
210,1011,UPI,16435.36
211,1012,COD,8915.37
212,1013,UPI,108688.38
213,1014,Credit Card,6709.31
214,1015,UPI,3627.29
215,1016,Debit Card,2095.53
216,1017,Debit Card,538.84
217,1019,Net Banking,49233.15
218,1020,Debit Card,1522.88
219,1021,Net Banking,1873.6
220,1022,Debit Card,44786.97
221,1023,Debit Card,44190.93
222,1024,COD,23078.32
223,1025,COD,3680.16
224,1026,Debit Card,87426.72
225,1027,Debit Card,16799.91
226,1028,Net Banking,1348.01
227,1029,COD,1508.07
228,1030,Net Banking,82032.16
229,1031,Net Banking,105360.61
230,1032,COD,3396.58
231,1033,COD,21821.86
232,1034,COD,3150.21
233,1035,COD,3972.72
234,1036,COD,1884.34
235,1037,Credit Card,41450.68
236,1038,Net Banking,5124.82
237,1041,Debit Card,14594.83
238,1042,UPI,18272.41
239,1045,Net Banking,6584.19
240,1046,Debit Card,387.87
241,1047,COD,1707.83
242,1048,COD,8204.56
243,1049,COD,115974.8
244,1050,UPI,1046.36
245,1051,Debit Card,5006.3
246,1052,Debit Card,2472.74
247,1053,Debit Card,28405.78
248,1054,Debit Card,15593.54
249,1055,COD,3748.29
250,1056,COD,82050.7
251,1057,Credit Card,3542.96
252,1058,Debit Card,8802.3
253,1059,Debit Card,951.4
254,1060,Credit Card,2053.86
255,1061,COD,63915.03
256,1063,Credit Card,57532.4
257,1064,Debit Card,48115.55
258,1065,Debit Card,11280.04
259,1066,Credit Card,1494.84
260,1067,Debit Card,78395.55
261,1068,COD,13507.03
262,1069,Net Banking,2274.03
263,1070,Debit Card,2312.75
264,1071,Debit Card,82820.94
265,1072,COD,3260.21
266,1073,Net Banking,208995.03
267,1074,Credit Card,3278.35
268,1075,COD,1204.16
269,1076,Credit Card,1718.64
270,1077,Debit Card,569.5
271,1078,Credit Card,20036.83
272,1079,Debit Card,113855.52
273,1080,COD,562.86
274,1081,COD,2433.16
275,1083,Debit Card,31650.72
276,1084,Credit Card,1542.97
277,1085,Net Banking,177898.11
278,1086,COD,57215.57
279,1087,COD,70382.55
280,1088,Credit Card,3428.32
281,1089,UPI,72909.7
282,1090,Debit Card,7654.52
283,1091,Credit Card,69326.93
284,1092,Credit Card,2740.64
285,1093,COD,7191.64
286,1095,Debit Card,199146.01
287,1096,Credit Card,8098.32
288,1097,Net Banking,1191.97
289,1098,Debit Card,1827.95
290,1099,Credit Card,12992.74
291,1100,Net Banking,58976.22
292,1102,Net Banking,3393.27
293,1103,Debit Card,59268.86
294,1104,COD,819.84
295,1105,Net Banking,5822.59
296,1106,COD,5211.68
297,1107,Debit Card,132516.03
298,1108,Credit Card,10386.39
299,1109,Debit Card,2005.83
300,1111,COD,69430.4
301,1112,UPI,63116.74
302,1113,Debit Card,38327.66
303,1114,UPI,6762.98
304,1115,Net Banking,72732.68
305,1118,COD,4447.57
306,1119,Net Banking,1486.12
307,1120,UPI,35110.59
308,1121,UPI,2150.46
309,1122,Credit Card,7035.2
310,1123,Debit Card,11940.71
311,1124,Net Banking,73260.95
312,1125,Net Banking,9403.2
313,1126,COD,512.51
314,1128,COD,201501.79
315,1129,Debit Card,3224.28
316,1131,COD,6360.44
317,1132,COD,2342.31
318,1133,Net Banking,2010.06
319,1134,Credit Card,2836.62
320,1135,Debit Card,14493.89
321,1136,UPI,2220.1
322,1137,Net Banking,139353.21
323,1138,Net Banking,67425.18
324,1139,COD,56622.88
325,1140,UPI,8734.35
326,1141,Net Banking,2333.32
327,1142,Net Banking,151767.57
328,1143,Net Banking,101566.28
329,1144,Debit Card,44137.95
330,1146,UPI,9606.57
331,1148,Credit Card,57745.95
332,1149,Credit Card,222470.12
333,1150,UPI,28355.2
334,1152,Debit Card,32963.6
335,1153,UPI,45110.34
336,1154,UPI,2064.18
337,1155,UPI,24938.93
338,1156,Debit Card,4280.42
339,1157,UPI,529.18
340,1158,COD,5488.1
341,1159,COD,11713.89
342,1160,Debit Card,11687.26
343,1161,Credit Card,97392.68
344,1162,UPI,16637.34
345,1164,Net Banking,1215.14
346,1165,Credit Card,116765.49
347,1166,UPI,8237.83
348,1168,COD,6315.34
349,1169,UPI,47943.87
350,1170,UPI,48895.88
351,1172,UPI,12994.3
352,1173,Debit Card,50405.8
353,1174,COD,1270.71
354,1175,Debit Card,7696.72
355,1177,Debit Card,22090.12
356,1178,Net Banking,2572.9
357,1179,Credit Card,18506.15
358,1180,Credit Card,32950.1
359,1181,Credit Card,3425.41
360,1183,COD,27185.59
361,1184,COD,1336.32
362,1185,COD,5040.65
363,1186,Debit Card,177453.21
364,1187,COD,21764.73
365,1188,Debit Card,7397.88
366,1189,Credit Card,44807.8
367,1190,Credit Card,79388.34
368,1191,UPI,596.3
369,1192,COD,759.68
370,1193,COD,91720.21
371,1194,Debit Card,20809.47
372,1195,Credit Card,5842.91
373,1196,Credit Card,7486.47
374,1197,Net Banking,17894.1
375,1198,Credit Card,18430.09
376,1199,COD,9705.91
377,1200,COD,2114.49
378,1201,UPI,103419.39
379,1203,Credit Card,72450.1
380,1204,UPI,4443.79
381,1205,COD,1173.03
382,1206,COD,11483.04
383,1207,Debit Card,715.56
384,1208,Net Banking,3170.25
385,1209,UPI,27180.24
386,1210,UPI,91935.57
387,1211,Credit Card,53814.7
388,1212,Net Banking,519.55
389,1213,Credit Card,6067.29
390,1214,Credit Card,8261.68
391,1215,Net Banking,56937.63
392,1217,COD,58210.25
393,1219,Credit Card,117022.92
394,1220,Credit Card,11447.52
395,1221,Credit Card,60056.39
396,1222,Debit Card,17126.2
397,1223,UPI,6789.62
398,1224,UPI,6835.95
399,1225,Credit Card,98950.48
400,1228,Debit Card,8588.4
401,1229,Net Banking,9073.43
402,1230,COD,4070.53
403,1231,COD,428.06
404,1232,Net Banking,147576.9
405,1234,Net Banking,220.51
406,1235,Credit Card,47092.41
407,1238,Credit Card,498.32
408,1242,UPI,5100.21
409,1243,UPI,27913.19
410,1244,Net Banking,16098.14
411,1245,Net Banking,8182.28
412,1246,Net Banking,2500.56
413,1247,Credit Card,7069.38
414,1248,Net Banking,94312.2
415,1249,COD,1868.86
416,1250,Net Banking,30793.14
417,1251,UPI,26514.95
418,1252,COD,844.16
419,1253,Debit Card,4219.32
420,1254,Credit Card,46220.0
