product_id,product_name,category,brand
101,T-shirt,Clothing,Nike
102,Jeans,Clothing,Levis
103,Jacket,Clothing,H&M
104,Shirt,Clothing,Zara
105,Sneakers,Footwear,Adidas
106,Running Shoes,Footwear,Puma
107,Formal Shoes,Footwear,Bata
108,Laptop,Electronics,HP
109,Headphones,Electronics,Sony
110,Smartphone,Electronics,Samsung
111,Earbuds,Electronics,Boat
112,iPad,Electronics,Apple
113,Table Lamp,Home,IKEA
114,Cookware Set,Home,Prestige
115,Water Bottle,Home,Milton
116,Face Cream,Beauty,Nivea
117,Lipstick,Beauty,Lakme
118,Shampoo,Beauty,Mamaearth
119,Novel,Books,Penguin
120,Self-Help Book,Books,HarperCollins
